Date,Close/Last,Volume,Open,High,Low
10/13/2023,431.50,95201130,435.21,436.45,429.88
10/12/2023,433.66,81154230,436.95,437.335,431.23
10/11/2023,436.32,62451740,435.64,436.58,433.18
10/10/2023,434.54,78607270,432.94,437.22,432.53
10/09/2023,432.29,80374360,427.58,432.88,427.0101
10/06/2023,429.54,113273300,421.97,431.125,420.60
10/05/2023,424.50,70142740,424.36,425.37,421.1701
10/04/2023,424.66,87452970,422.07,425.4299,420.56
10/03/2023,421.59,103760600,425.06,427.3729,420.18
10/02/2023,427.31,83798600,426.62,428.60,424.46
09/29/2023,427.48,115111300,431.67,431.85,425.91
09/28/2023,428.52,92258310,425.48,430.2499,424.87
09/27/2023,426.05,104705800,427.09,427.67,422.29
09/26/2023,425.88,96168440,429.09,429.82,425.02
09/25/2023,432.23,70874530,429.17,432.27,428.72
09/22/2023,430.42,100829700,432.45,434.10,429.99
09/21/2023,431.39,104095800,435.70,435.97,431.23
09/20/2023,438.64,82562600,444.01,444.435,438.43
09/19/2023,442.71,66514650,442.68,443.29,439.94
09/18/2023,443.63,55752210,443.05,444.97,442.56
09/15/2023,443.37,111848900,447.14,447.48,442.92
09/14/2023,450.36,83430810,449.07,451.08,447.715
09/13/2023,446.51,60199270,446.22,447.71,445.0793
09/12/2023,445.99,67565420,446.95,448.53,445.39
09/11/2023,448.45,60180120,448.24,448.77,446.4699
09/08/2023,445.52,62068440,444.90,447.11,444.53
09/07/2023,444.85,70355430,443.11,445.55,442.75
09/06/2023,446.22,70758510,448.40,448.51,443.81
09/05/2023,449.24,55166210,450.73,451.06,449.17
09/01/2023,451.19,58944100,453.17,453.67,449.68
08/31/2023,450.35,66084560,451.65,452.83,450.16
08/30/2023,451.01,69053910,449.51,451.67,448.78
08/29/2023,449.16,83081920,442.65,449.45,442.46
08/28/2023,442.76,61595390,442.24,443.40,439.9728
08/25/2023,439.97,102325100,438.68,441.30,435.00
08/24/2023,436.89,88517270,444.69,445.22,436.855
